county,former_province,region,approx_lat,approx_lon,notes
Nandi,Rift Valley,Rift Valley Highlands,0.1667,35.1333,"Heart of Kalenjin/Nandi distance-running production; Kapsabet"
Uasin Gishu,Rift Valley,Rift Valley Highlands,0.5167,35.2833,"Eldoret; major training hub"
Elgeyo-Marakwet,Rift Valley,Rift Valley Highlands,0.8000,35.4667,"Iten — the 'Home of Champions' training camps at ~2400m"
Nakuru,Rift Valley,Rift Valley Highlands,-0.3031,36.0800,""
Bomet,Rift Valley,Rift Valley Highlands,-0.7833,35.3417,""
Kericho,Rift Valley,Rift Valley Highlands,-0.3689,35.2839,""
Baringo,Rift Valley,Rift Valley Highlands,0.4667,35.9667,""
West Pokot,Rift Valley,Rift Valley Highlands,1.6200,35.3900,""
Trans Nzoia,Rift Valley,Rift Valley Highlands,1.0500,35.0000,""
Nyamira,Nyanza,Western Highlands,-0.5667,34.9333,"Birthplace of Naftali Temu; Gusii/Kisii community"
Kisii,Nyanza,Western Highlands,-0.6833,34.7667,""
Nairobi,Nairobi,Capital,-1.2864,36.8172,""
Nyandarua,Central,Central Highlands,-0.5333,36.6333,"Nyahururu area; Samuel Wanjiru association"
