athlete_or_team,birthplace_county,confidence,source,notes
Naftali Temu,Nyamira,high,wikipedia:Naftali_Temu,"Born 20 April 1945, Nyamira; Gusii community"
Abel Kiprop Mutai,,low,wikipedia:Abel_Kiprop_Mutai,( 1988-10-02 ) 2 October 1988 (age 37)
Abel Kirui,,low,wikipedia:Abel_Kirui,( 1982-04-06 ) 6 April 1982 (age 44)
Abraham Kibiwot,Uasin Gishu,high,wikipedia:Abraham_Kibiwot,"( 1996-06-04 ) 4 June 1996 (age 30) Uasin Gishu , Kenya"
Alfred Kirwa Yego,,low,wikipedia:Alfred_Kirwa_Yego,"( 1986-11-28 ) 28 November 1986 (age 39) Eldoret , Kenya"
Amos Biwott,Nandi,high,wikipedia:Amos_Biwott,"8 September 1947 ( 1947-09-08 ) (age 78) Nandi, Kenya"
Asbel Kiprop,,low,wikipedia:Asbel_Kiprop,"( 1989-06-30 ) 30 June 1989 (age 37) Keiyo District , Kenya"
Beatrice Chebet,Kericho,high,wikipedia:Beatrice_Chebet,"( 2000-03-05 ) 5 March 2000 (age 26) [ 1 ] Kericho , Kenya [ 1 ]"
Benjamin Kigen,,low,wikipedia:Benjamin_Kigen,"( 1993-07-05 ) July 5, 1993 (age 33)"
Benson Kipruto,Nandi,high,wikipedia:Benson_Kipruto,"( 1991-03-17 ) 17 March 1991 (age 35) Tolilet, Nandi County , Kenya"
Bernard Lagat,,low,wikipedia:Bernard_Lagat,"December 12, 1974 ( 1974-12-12 ) (age 51) Kapsabet , Kenya"
Boniface Mucheru,,low,wikipedia:Boniface_Mucheru,"( 1992-05-02 ) 2 May 1992 (age 34) Laikipia District , Kenya"
Brigid Kosgei,,low,wikipedia:Brigid_Kosgei,"( 1994-02-20 ) 20 February 1994 (age 32) Sinon, Kapsowar , Kenya"
Brimin Kipruto,,none,,birthplace not found on Wikipedia
Catherine Ndereba,,low,wikipedia:Catherine_Ndereba,"Wincatherine Nyambura Ndereba ( 1972-07-21 ) 21 July 1972 (age 54) Nyeri , Kenya"
Chris Sande,,low,wikipedia:Chris_Sande,10 February 1964 ( 1964-02-10 ) (age 62)
Conseslus Kipruto,,low,wikipedia:Conseslus_Kipruto,"( 1994-12-08 ) 8 December 1994 (age 31) Eldoret , Kenya"
David Rudisha,,low,wikipedia:David_Rudisha,"David Lekuta Rudisha [ 1 ] ( 1988-12-17 ) 17 December 1988 (age 37) [ 1 ] Kilgoris , Narok County , Kenya [ 1 ]"
