games_year,host_city,season,gold,silver,bronze,total,olympedia_edition_id,notes,source
1956,Melbourne,Summer,0,0,0,0,14,"Debut as Colony and Protectorate of Kenya; no medals",olympedia:KEN
1960,Rome,Summer,0,0,0,0,15,"No medals",olympedia:KEN
1964,Tokyo,Summer,0,0,1,1,16,"First-ever Olympic medal (Wilson Kiprugut, 800m bronze); first Games as independent Kenya",olympedia:KEN
1968,Mexico City,Summer,3,4,2,9,17,"First gold(s); breakthrough Games at altitude",olympedia:KEN
1972,Munich,Summer,2,3,4,9,18,"",olympedia:KEN
1976,Montreal,Summer,,,,,,"Boycotted (African boycott over New Zealand/apartheid) — did not compete",olympedia:KEN
1980,Moscow,Summer,,,,,,"Boycotted (joined US-led boycott) — did not compete",olympedia:KEN
1984,Los Angeles,Summer,1,0,2,3,21,"",olympedia:KEN
1988,Seoul,Summer,5,2,2,9,22,"Includes Kenya's only Olympic boxing gold (Robert Wangila)",olympedia:KEN
1992,Barcelona,Summer,2,4,2,8,23,"",olympedia:KEN
1996,Atlanta,Summer,1,4,3,8,24,"",olympedia:KEN
2000,Sydney,Summer,2,3,2,7,25,"",olympedia:KEN
2004,Athens,Summer,1,4,2,7,26,"",olympedia:KEN
2008,Beijing,Summer,6,4,6,16,53,"Best-ever total (16); includes 1500m gold reallocated after Rashid Ramzi (BRN) doping DQ",olympedia:KEN
2012,London,Summer,2,5,6,13,54,"",olympedia:KEN
2016,Rio de Janeiro,Summer,6,6,1,13,59,"Joint-best gold haul (6); Games shadowed by WADA non-compliance and Rio admin scandals",olympedia:KEN
2020,Tokyo,Summer,4,4,2,10,61,"Held 2021 due to COVID-19",olympedia:KEN
2024,Paris,Summer,4,2,5,11,63,"Beatrice Chebet won two golds (5000m + 10000m)",olympedia:KEN
