year,event_type,description,figures,source
1955,institution,"National Olympic Committee of Kenya founded (14 Feb); IOC-recognised same year",,olympedia:KEN
1966,institution,"Kenya National Sports Council formed to regulate sports organisations",,"allAfrica"
2004,anti_doping,"Anti-doping concerns begin surfacing publicly around Kenyan athletics",,"IAAF/press"
2013,legislation,"Sports Act 2013 framework era; Sports Kenya and related bodies established under reform",,"Kenya Sports Act 2013"
2016,anti_doping,"Anti-Doping Agency of Kenya (ADAK) established; doping criminalised after WADA non-compliance ruling",,"press; ADAK"
2016,governance,"Athlete/official corruption cases (Nike diversion, Rio theft) reach courts and IAAF ethics board",,"BBC; Sports Integrity Initiative"
2022,anti_doping,"Government commits ~USD 5 million per year for five years to anti-doping to avert blanket ban","USD 25M over 5 years","AP/The Hill"
2023,strategy,"Ministry of Youth Affairs, Creative Economy and Sports 2023-2027 Strategic Plan; Talanta Hela talent-monetisation initiative",,"sports.go.ke Strategic Plan 2023-2027"
2025,policy,"Revised National Sports Policy approved (April); SRC-approved athlete reward and welfare overhaul","Olympic gold bonus raised from ~USD 5,800 to ~USD 23,200; daily allowances raised","People Daily; Pan African Visions; Kenyans.co.ke"
2025,budget,"2025/26 national budget sports allocation","KES 16.69B total; ADAK KES 241M; Kenya Academy of Sports KES 245M; Sports Kenya KES 402M; Sports Registrar digitisation KES 2.3B; ~0.004% of national budget","People Daily"
2025,welfare,"Government announces KES 70M compensation for historically overlooked athletes; scholarship and post-career transition pathways proposed","KES 70M","Kenyans.co.ke"
